"Row ID","Order ID","Order Date","Ship Date","Ship Mode","Customer ID","Customer Name",Segment,Country,City,State,"Postal Code",Region,"Product ID",Category,Sub-Category,"Product Name",Sales,Quantity,Discount,Profit
11,CA-2014-115812,6/9/2014,6/14/2014,"Standard Class",BH-11710,"Brosina Hoffman",Consumer,"United States","Los Angeles",California,90032,West,FUR-TA-10001539,Furniture,Tables,"Chromcraft Rectangular Conference Tables",1706.184,9,0.2,85.3092
25,CA-2015-106320,9/25/2015,9/30/2015,"Standard Class",EB-13870,"Emily Burns",Consumer,"United States",Orem,Utah,84057,West,FUR-TA-10000577,Furniture,Tables,"Bretford CR4500 Series Slim Rectangular Table",1044.63,3,0,240.2649
28,US-2015-150630,9/17/2015,9/21/2015,"Standard Class",TB-21520,"Tracy Blumstein",Consumer,"United States",Philadelphia,Pennsylvania,19140,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.0522
36,CA-2016-117590,12/8/2016,12/10/2016,"First Class",GH-14485,"Gene Hale",Corporate,"United States",Richardson,Texas,75080,Central,TEC-PH-10004977,Technology,Phones,"GE 30524EE4",1097.544,7,0.2,123.4737
55,CA-2016-105816,12/11/2016,12/17/2016,"Standard Class",JM-15265,"Janet Molinari",Corporate,"United States","New York City","New York",10024,East,TEC-PH-10002447,Technology,Phones,"AT&T CL83451 4-Handset Telephone",1029.95,5,0,298.6855
68,CA-2014-106376,12/5/2014,12/10/2014,"Standard Class",BS-11590,"Brendan Sweed",Corporate,"United States",Gilbert,Arizona,85234,West,OFF-AR-10002671,"Office Supplies",Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8,0.2,111.3024
150,CA-2016-114489,12/5/2016,12/9/2016,"Standard Class",JE-16165,"Justin Ellison",Corporate,"United States",Franklin,Wisconsin,53132,Central,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",1951.84,8,0,585.552
166,CA-2014-139892,9/8/2014,9/12/2014,"Standard Class",BM-11140,"Becky Martin",Consumer,"United States","San Antonio",Texas,78207,Central,TEC-MA-10000822,Technology,Machines,"Lexmark MX611dhe Monochrome Laser Printer",8159.952,8,0.4,-1359.992
168,CA-2014-139892,9/8/2014,9/12/2014,"Standard Class",BM-11140,"Becky Martin",Consumer,"United States","San Antonio",Texas,78207,Central,FUR-CH-10004287,Furniture,Chairs,"SAFCO Arco Folding Chair",1740.06,9,0.3,-24.858
216,CA-2015-146262,1/2/2015,1/9/2015,"Standard Class",VW-21775,"Victoria Wilson",Corporate,"United States",Medina,Ohio,44256,East,TEC-MA-10000864,Technology,Machines,"Cisco 9971 IP Video Phone Charcoal",1188,9,0.7,-950.4
245,CA-2014-131926,6/1/2014,6/6/2014,"Second Class",DW-13480,"Dianna Wilson","Home Office","United States",Lakeville,Minnesota,55044,Central,FUR-CH-10004063,Furniture,Chairs,"Global Deluxe High-Back Manager's Chair",2001.86,7,0,580.5394
248,CA-2014-131926,6/1/2014,6/6/2014,"Second Class",DW-13480,"Dianna Wilson","Home Office","United States",Lakeville,Minnesota,55044,Central,OFF-AP-10002945,"Office Supplies",Appliances,"Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room",1503.25,5,0,496.0725
252,CA-2016-145625,9/11/2016,9/17/2016,"Standard Class",KC-16540,"Kelly Collister",Consumer,"United States","San Diego",California,92037,West,TEC-AC-10003832,Technology,Accessories,"Logitech P710e Mobile Speakerphone",3347.37,13,0,636.0003
263,US-2014-106992,9/19/2014,9/21/2014,"Second Class",SB-20290,"Sean Braxton",Corporate,"United States",Houston,Texas,77036,Central,TEC-MA-10000822,Technology,Machines,"Lexmark MX611dhe Monochrome Laser Printer",3059.982,3,0.4,-509.997
264,US-2014-106992,9/19/2014,9/21/2014,"Second Class",SB-20290,"Sean Braxton",Corporate,"United States",Houston,Texas,77036,Central,TEC-MA-10003353,Technology,Machines,"Xerox WorkCentre 6505DN Laser Multifunction Printer",2519.958,7,0.4,-251.9958
282,US-2015-161991,9/26/2015,9/28/2015,"Second Class",SC-20725,"Steven Cartwright",Consumer,"United States",Houston,Texas,77070,Central,TEC-PH-10001760,Technology,Phones,"Bose SoundLink Bluetooth Speaker",1114.4,7,0.2,376.11
283,CA-2015-130890,11/2/2015,11/6/2015,"Standard Class",JO-15280,"Jas O'Carroll",Consumer,"United States","Los Angeles",California,90004,West,FUR-TA-10002903,Furniture,Tables,"Bevis Round Bullnose 29" High Table Top"",1038.84,5,0.2,51.942
319,CA-2014-164973,11/4/2014,11/9/2014,"Standard Class",NM-18445,"Nathan Mautz","Home Office","United States","New York City","New York",10024,East,TEC-MA-10002927,Technology,Machines,"Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier",3991.98,2,0,1995.99
354,CA-2016-129714,9/1/2016,9/3/2016,"First Class",AB-10060,"Adam Bellavance","Home Office","United States","New York City","New York",10009,East,OFF-BI-10004995,"Office Supplies",Binders,"GBC DocuBind P400 Electric Binding System",4355.168,4,0.2,1415.4296
370,CA-2016-155516,10/21/2016,10/21/2016,"Same Day",MK-17905,"Michael Kennedy",Corporate,"United States",Manchester,Connecticut,6040,East,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",1043.92,4,0,271.4192
374,US-2014-119137,7/23/2014,7/27/2014,"Standard Class",AG-10900,"Arthur Gainer",Consumer,"United States",Tucson,Arizona,85705,West,TEC-AC-10003911,Technology,Accessories,"NETGEAR AC1750 Dual Band Gigabit Smart WiFi Router",1023.936,8,0.2,179.1888
378,US-2017-134481,8/27/2017,9/1/2017,"Standard Class",AR-10405,"Allen Rosenblatt",Corporate,"United States",Franklin,Massachusetts,2038,East,FUR-TA-10004915,Furniture,Tables,"Office Impressions End Table, 20-1/2"H x 24""W x 20""D"",1488.424,7,0.3,-297.6848
393,US-2014-135972,9/21/2014,9/23/2014,"Second Class",JG-15115,"Jack Garza",Consumer,"United States","Des Moines",Washington,98198,West,TEC-CO-10002313,Technology,Copiers,"Canon PC1080F Personal Copier",1799.97,3,0,701.9883
400,CA-2016-108987,9/8/2016,9/10/2016,"Second Class",AG-10675,"Anna Gayman",Consumer,"United States",Houston,Texas,77036,Central,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",2396.2656,4,0.32,-317.1528
407,CA-2017-117457,12/8/2017,12/12/2017,"Standard Class",KH-16510,"Keith Herrera",Consumer,"United States","San Francisco",California,94110,West,TEC-CO-10004115,Technology,Copiers,"Sharp AL-1530CS Digital Copier",1199.976,3,0.2,434.9913
409,CA-2017-117457,12/8/2017,12/12/2017,"Standard Class",KH-16510,"Keith Herrera",Consumer,"United States","San Francisco",California,94110,West,FUR-TA-10002041,Furniture,Tables,"Bevis Round Conference Table Top, X-Base",1004.024,7,0.2,-112.9527
413,CA-2017-117457,12/8/2017,12/12/2017,"Standard Class",KH-16510,"Keith Herrera",Consumer,"United States","San Francisco",California,94110,West,FUR-BO-10001972,Furniture,Bookcases,"O'Sullivan 4-Shelf Bookcase in Odessa Pine",1336.829,13,0.15,31.4548
437,CA-2016-147375,6/12/2016,6/14/2016,"Second Class",PO-19180,"Philisse Overcash","Home Office","United States",Chicago,Illinois,60623,Central,TEC-MA-10002937,Technology,Machines,"Canon Color ImageCLASS MF8580Cdw Wireless Laser All-In-One Printer, Copier, Scanner",1007.979,3,0.3,43.1991
464,CA-2016-109869,4/22/2016,4/29/2016,"Standard Class",TN-21040,"Tanja Norvell","Home Office","United States",Phoenix,Arizona,85023,West,FUR-TA-10001889,Furniture,Tables,"Bush Advantage Collection Racetrack Conference Table",1272.63,6,0.5,-814.4832
488,CA-2014-154627,10/29/2014,10/31/2014,"First Class",SA-20830,"Sue Ann Reed",Consumer,"United States",Chicago,Illinois,60610,Central,TEC-PH-10001363,Technology,Phones,"Apple iPhone 5S",2735.952,6,0.2,341.994
510,CA-2015-145352,3/16/2015,3/22/2015,"Standard Class",CM-12385,"Christopher Martinez",Consumer,"United States",Atlanta,Georgia,30318,South,OFF-BI-10003527,"Office Supplies",Binders,"Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind",6354.95,5,0,3177.475
516,CA-2017-127432,1/22/2017,1/27/2017,"Standard Class",AD-10180,"Alan Dominguez","Home Office","United States","Great Falls",Montana,59405,West,TEC-CO-10003236,Technology,Copiers,"Canon Image Class D660 Copier",2999.95,5,0,1379.977
519,CA-2017-127432,1/22/2017,1/27/2017,"Standard Class",AD-10180,"Alan Dominguez","Home Office","United States","Great Falls",Montana,59405,West,OFF-ST-10004459,"Office Supplies",Storage,"Tennsco Single-Tier Lockers",1126.02,3,0,56.301
552,CA-2016-136406,4/15/2016,4/17/2016,"Second Class",BD-11320,"Bill Donatelli",Consumer,"United States","San Francisco",California,94110,West,FUR-CH-10002024,Furniture,Chairs,"HON 5400 Series Task Chairs for Big and Tall",1121.568,2,0.2,0
555,CA-2017-100650,6/29/2017,7/3/2017,"Second Class",DK-13225,"Dean Katz",Corporate,"United States",Anaheim,California,92804,West,OFF-ST-10001780,"Office Supplies",Storage,"Tennsco 16-Compartment Lockers with Coat Rack",1295.78,2,0,310.9872
558,CA-2016-113243,6/10/2016,6/15/2016,"Standard Class",OT-18730,"Olvera Toch",Consumer,"United States","Los Angeles",California,90045,West,FUR-TA-10004256,Furniture,Tables,"Bretford “Just In Time” Height-Adjustable Multi-Task Work Tables",1335.68,4,0.2,-217.048
596,CA-2014-131450,8/8/2014,8/15/2014,"Standard Class",LR-16915,"Lena Radford",Consumer,"United States","San Diego",California,92024,West,TEC-CO-10004115,Technology,Copiers,"Sharp AL-1530CS Digital Copier",1199.976,3,0.2,434.9913
639,CA-2016-115917,5/20/2016,5/25/2016,"Standard Class",RB-19465,"Rick Bensley","Home Office","United States",Vallejo,California,94591,West,FUR-FU-10000576,Furniture,Furnishings,"Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base",1049.2,5,0,272.792
684,US-2017-168116,11/4/2017,11/4/2017,"Same Day",GT-14635,"Grant Thornton",Corporate,"United States",Burlington,"North Carolina",27217,South,TEC-MA-10004125,Technology,Machines,"Cubify CubeX 3D Printer Triple Head Print",7999.98,4,0.5,-3839.9904
722,CA-2016-142335,12/15/2016,12/19/2016,"Standard Class",MP-17965,"Michael Paige",Corporate,"United States",Detroit,Michigan,48205,Central,FUR-TA-10000198,Furniture,Tables,"Chromcraft Bull-Nose Wood Oval Conference Tables & Bases",1652.94,3,0,231.4116
754,CA-2016-110499,4/7/2016,4/9/2016,"First Class",YC-21895,"Yoseph Carroll",Corporate,"United States","San Francisco",California,94110,West,TEC-CO-10002095,Technology,Copiers,"Hewlett Packard 610 Color Digital Copier / Printer",1199.976,3,0.2,374.9925
793,CA-2016-105256,5/20/2016,5/20/2016,"Same Day",JK-15730,"Joe Kamberova",Consumer,"United States",Asheville,"North Carolina",28806,South,TEC-PH-10001530,Technology,Phones,"Cisco Unified IP Phone 7945G VoIP phone",1363.96,5,0.2,85.2475
807,CA-2014-134313,11/1/2014,11/7/2014,"Standard Class",RA-19915,"Russell Applegate",Consumer,"United States",Denver,Colorado,80219,West,TEC-PH-10001795,Technology,Phones,"ClearOne CHATAttach 160 - speaker phone",1983.968,4,0.2,247.996
811,CA-2014-151995,10/13/2014,10/15/2014,"First Class",ZC-21910,"Zuschuss Carroll",Consumer,"United States",Edmonds,Washington,98026,West,FUR-TA-10002903,Furniture,Tables,"Bevis Round Bullnose 29" High Table Top"",1298.55,5,0,311.652
815,CA-2017-143686,5/14/2017,5/14/2017,"Same Day",PJ-19015,"Pauline Johnson",Consumer,"United States","Santa Ana",California,92704,West,TEC-AC-10001838,Technology,Accessories,"Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming Headset",1399.93,7,0,601.9699
820,CA-2014-140858,6/28/2014,7/2/2014,"Standard Class",CA-12775,"Cynthia Arntzen",Consumer,"United States",Philadelphia,Pennsylvania,19140,East,FUR-CH-10001394,Furniture,Chairs,"Global Leather Executive Chair",1228.465,5,0.3,0
870,CA-2016-158099,9/3/2016,9/5/2016,"First Class",PK-18910,"Paul Knutson","Home Office","United States",Philadelphia,Pennsylvania,19143,East,OFF-BI-10000545,"Office Supplies",Binders,"GBC Ibimaster 500 Manual ProClick Binding System",1141.47,5,0.7,-760.98
881,CA-2017-111689,11/30/2017,12/2/2017,"Second Class",HP-14815,"Harold Pawlan","Home Office","United States","New York City","New York",10024,East,FUR-CH-10004287,Furniture,Chairs,"SAFCO Arco Folding Chair",1242.9,5,0.1,262.39
910,CA-2017-137596,9/2/2017,9/7/2017,"Standard Class",BE-11335,"Bill Eplett","Home Office","United States",Jackson,Michigan,49201,Central,TEC-PH-10001494,Technology,Phones,"Polycom CX600 IP Phone VoIP phone",1199.8,4,0,323.946
911,CA-2017-137596,9/2/2017,9/7/2017,"Standard Class",BE-11335,"Bill Eplett","Home Office","United States",Jackson,Michigan,49201,Central,TEC-AC-10004666,Technology,Accessories,"Maxell iVDR EX 500GB Cartridge",1928.78,7,0,829.3754
943,CA-2016-142958,12/13/2016,12/20/2016,"Standard Class",RW-19630,"Rob Williams",Corporate,"United States",Torrance,California,90503,West,FUR-TA-10000577,Furniture,Tables,"Bretford CR4500 Series Slim Rectangular Table",1114.272,4,0.2,41.7852
949,US-2017-110576,11/28/2017,12/2/2017,"Standard Class",RB-19795,"Ross Baird","Home Office","United States",Philadelphia,Pennsylvania,19120,East,FUR-FU-10000576,Furniture,Furnishings,"Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base",1007.232,6,0.2,75.5424
950,US-2017-110576,11/28/2017,12/2/2017,"Standard Class",RB-19795,"Ross Baird","Home Office","United States",Philadelphia,Pennsylvania,19120,East,FUR-TA-10004154,Furniture,Tables,"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",2065.32,12,0.4,-619.596
978,CA-2017-159366,1/7/2017,1/10/2017,"First Class",BW-11110,"Bart Watters",Corporate,"United States",Detroit,Michigan,48205,Central,TEC-MA-10000822,Technology,Machines,"Lexmark MX611dhe Monochrome Laser Printer",3059.982,2,0.1,679.996
