"Row ID","Order ID","Order Date","Ship Date","Ship Mode","Customer ID","Customer Name",Segment,Country,City,State,"Postal Code",Region,"Product ID",Category,Sub-Category,"Product Name",Sales,Quantity,Discount,Profit
8,CA-2014-115812,6/9/2014,6/14/2014,"Standard Class",BH-11710,"Brosina Hoffman",Consumer,"United States","Los Angeles",California,90032,West,TEC-PH-10002275,Technology,Phones,"Mitel 5320 IP Phone VoIP phone",907.152,6,0.2,90.7152
12,CA-2014-115812,6/9/2014,6/14/2014,"Standard Class",BH-11710,"Brosina Hoffman",Consumer,"United States","Los Angeles",California,90032,West,TEC-PH-10002033,Technology,Phones,"Konftel 250 Conference phone - Charcoal black",911.424,4,0.2,68.3568
20,CA-2014-143336,8/27/2014,9/1/2014,"Second Class",ZD-21925,"Zuschuss Donatelli",Consumer,"United States","San Francisco",California,94109,West,TEC-PH-10001949,Technology,Phones,"Cisco SPA 501G IP Phone",213.48,3,0.2,16.011
27,CA-2016-121755,1/16/2016,1/20/2016,"Second Class",EH-13945,"Eric Hoffmann",Consumer,"United States","Los Angeles",California,90049,West,TEC-AC-10003027,Technology,Accessories,"Imation 8GB Mini TravelDrive USB 2.0 Flash Drive",90.57,3,0,11.7741
36,CA-2016-117590,12/8/2016,12/10/2016,"First Class",GH-14485,"Gene Hale",Corporate,"United States",Richardson,Texas,75080,Central,TEC-PH-10004977,Technology,Phones,"GE 30524EE4",1097.544,7,0.2,123.4737
41,CA-2015-117415,12/27/2015,12/31/2015,"Standard Class",SN-20710,"Steve Nguyen","Home Office","United States",Houston,Texas,77041,Central,TEC-PH-10000486,Technology,Phones,"Plantronics HL10 Handset Lifter",371.168,4,0.2,41.7564
42,CA-2017-120999,9/10/2017,9/15/2017,"Standard Class",LC-16930,"Linda Cazamias",Corporate,"United States",Naperville,Illinois,60540,Central,TEC-PH-10004093,Technology,Phones,"Panasonic Kx-TS550",147.168,4,0.2,16.5564
45,CA-2016-118255,3/11/2016,3/13/2016,"First Class",ON-18715,"Odella Nelson",Corporate,"United States",Eagan,Minnesota,55122,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0,19.7714
48,CA-2016-169194,6/20/2016,6/25/2016,"Standard Class",LH-16900,"Lena Hernandez",Consumer,"United States",Dover,Delaware,19901,East,TEC-AC-10002167,Technology,Accessories,"Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive",45,3,0,4.95
49,CA-2016-169194,6/20/2016,6/25/2016,"Standard Class",LH-16900,"Lena Hernandez",Consumer,"United States",Dover,Delaware,19901,East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,0,6.104
