"Order ID","Customer Name","Product Name",Sales,Company_Average
CA-2014-145317,"Sean Miller","Cisco TelePresence System EX90 Videoconferencing Unit",22638.48,229.8580008304938
CA-2016-118689,"Tamara Chand","Canon imageCLASS 2200 Advanced Copier",17499.95,229.8580008304938
CA-2017-140151,"Raymond Buch","Canon imageCLASS 2200 Advanced Copier",13999.96,229.8580008304938
CA-2017-127180,"Tom Ashbrook","Canon imageCLASS 2200 Advanced Copier",11199.968,229.8580008304938
CA-2017-166709,"Hunter Lopez","Canon imageCLASS 2200 Advanced Copier",10499.97,229.8580008304938
CA-2016-117121,"Adrian Barton","GBC Ibimaster 500 Manual ProClick Binding System",9892.74,229.8580008304938
CA-2014-116904,"Sanjit Chand","Ibico EPK-21 Electric Binding System",9449.95,229.8580008304938
US-2016-107440,"Bill Shonely","3D Systems Cube Printer, 2nd Generation, Magenta",9099.93,229.8580008304938
CA-2016-158841,"Sanjit Engle","HP Designjet T520 Inkjet Large Format Printer - 24 Color",8749.95,229.8580008304938
CA-2016-143714,"Christopher Conant","Canon imageCLASS 2200 Advanced Copier",8399.976,229.8580008304938
CA-2014-143917,"Ken Lonsdale","High Speed Automatic Electric Letter Opener",8187.65,229.8580008304938
CA-2014-139892,"Becky Martin","Lexmark MX611dhe Monochrome Laser Printer",8159.952,229.8580008304938
US-2017-168116,"Grant Thornton","Cubify CubeX 3D Printer Triple Head Print",7999.98,229.8580008304938
CA-2014-145541,"Tom Boeckenhauer","HP Designjet T520 Inkjet Large Format Printer - 24 Color",6999.96,229.8580008304938
CA-2015-145352,"Christopher Martinez","Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind",6354.95,229.8580008304938
CA-2017-138289,"Andy Reiter","GBC DocuBind P400 Electric Binding System",5443.96,229.8580008304938
US-2016-140158,"Daniel Raglin","Hewlett Packard LaserJet 3310 Copier",5399.91,229.8580008304938
CA-2017-143112,"Todd Sumrall","3D Systems Cube Printer, 2nd Generation, Magenta",5199.96,229.8580008304938
CA-2017-135909,"Jane Waco","Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind",5083.96,229.8580008304938
CA-2016-136301,"Edward Hooks","High Speed Automatic Electric Letter Opener",4912.59,229.8580008304938
US-2016-143819,"Karen Daniels","Ativa V4110MDD Micro-Cut Shredder",4899.93,229.8580008304938
US-2015-128587,"Harry Marie","Canon PC1060 Personal Laser Copier",4899.93,229.8580008304938
CA-2017-149881,"Nick Crebassa","Cubify CubeX 3D Printer Double Head Print",4799.984,229.8580008304938
CA-2017-158379,"Joseph Airdo","Martin Yale Chadless Opener Electric Letter Opener",4663.736,229.8580008304938
CA-2015-114811,"Keith Dawkins","Zebra ZM400 Thermal Label Printer",4643.8,229.8580008304938
CA-2014-144624,"John Murray","Apple iPhone 5",4548.81,229.8580008304938
CA-2016-138478,"Dennis Pardue","Ibico EPK-21 Electric Binding System",4535.976,229.8580008304938
CA-2016-108196,"Cindy Stewart","Cubify CubeX 3D Printer Double Head Print",4499.985,229.8580008304938
CA-2016-100300,"Max Jones","Okidata MB760 Printer",4476.8,229.8580008304938
CA-2017-118892,"Tom Prescott","HON 5400 Series Task Chairs for Big and Tall",4416.174,229.8580008304938
CA-2015-117086,"Quincy Jones","Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",4404.9,229.8580008304938
CA-2017-129021,"Patrick O'Brill","Samsung Galaxy Mega 6.3",4367.896,229.8580008304938
CA-2016-129714,"Adam Bellavance","GBC DocuBind P400 Electric Binding System",4355.168,229.8580008304938
US-2017-102183,"Pete Kriz","GBC DocuBind TL300 Electric Binding System",4305.552,229.8580008304938
CA-2015-116638,"Joseph Holt","Chromcraft Bull-Nose Wood Oval Conference Tables & Bases",4297.644,229.8580008304938
US-2015-126977,"Peter Fuller","Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",4228.704,229.8580008304938
CA-2014-102988,"Greg Maxwell","Martin Yale Chadless Opener Electric Letter Opener",4164.05,229.8580008304938
US-2017-167402,"Cathy Prescott","Martin Yale Chadless Opener Electric Letter Opener",4164.05,229.8580008304938
CA-2016-159016,"Karen Ferguson","Apple iPhone 5",4158.912,229.8580008304938
CA-2014-128209,"Greg Tran","DMI Eclipse Executive Suite Bookcases",4007.84,229.8580008304938
CA-2016-128818,"Caroline Jumper","Bady BDG101FRU Card Printer",3999.95,229.8580008304938
CA-2014-164973,"Nathan Mautz","Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier",3991.98,229.8580008304938
CA-2016-103982,"Alex Avila","High Speed Automatic Electric Letter Opener",3930.072,229.8580008304938
CA-2015-120782,"Shirley Daniels","Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind",3812.97,229.8580008304938
CA-2014-116246,"Luke Weiss","HON 5400 Series Task Chairs for Big and Tall",3785.292,229.8580008304938
CA-2014-168494,"Nora Preis","Bretford Rectangular Conference Table Tops",3610.848,229.8580008304938
CA-2016-122903,"Laura Armstrong","HON 5400 Series Task Chairs for Big and Tall",3504.9,229.8580008304938
CA-2014-163223,"Kristen Hastings","Samsung Galaxy S4 Active",3499.93,229.8580008304938
CA-2016-107104,"Maribeth Schnelling","DMI Eclipse Executive Suite Bookcases",3406.664,229.8580008304938
