"Order ID","Customer Name","Product Name",Sales
CA-2014-145317,"Sean Miller","Cisco TelePresence System EX90 Videoconferencing Unit",22638.48
CA-2016-118689,"Tamara Chand","Canon imageCLASS 2200 Advanced Copier",17499.95
CA-2017-140151,"Raymond Buch","Canon imageCLASS 2200 Advanced Copier",13999.96
CA-2017-127180,"Tom Ashbrook","Canon imageCLASS 2200 Advanced Copier",11199.968
CA-2017-166709,"Hunter Lopez","Canon imageCLASS 2200 Advanced Copier",10499.97
CA-2016-117121,"Adrian Barton","GBC Ibimaster 500 Manual ProClick Binding System",9892.74
CA-2014-116904,"Sanjit Chand","Ibico EPK-21 Electric Binding System",9449.95
US-2016-107440,"Bill Shonely","3D Systems Cube Printer, 2nd Generation, Magenta",9099.93
CA-2016-158841,"Sanjit Engle","HP Designjet T520 Inkjet Large Format Printer - 24 Color",8749.95
CA-2016-143714,"Christopher Conant","Canon imageCLASS 2200 Advanced Copier",8399.976
CA-2014-143917,"Ken Lonsdale","High Speed Automatic Electric Letter Opener",8187.65
CA-2014-139892,"Becky Martin","Lexmark MX611dhe Monochrome Laser Printer",8159.952
US-2017-168116,"Grant Thornton","Cubify CubeX 3D Printer Triple Head Print",7999.98
CA-2014-145541,"Tom Boeckenhauer","HP Designjet T520 Inkjet Large Format Printer - 24 Color",6999.96
CA-2015-145352,"Christopher Martinez","Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind",6354.95
CA-2017-138289,"Andy Reiter","GBC DocuBind P400 Electric Binding System",5443.96
US-2016-140158,"Daniel Raglin","Hewlett Packard LaserJet 3310 Copier",5399.91
CA-2017-143112,"Todd Sumrall","3D Systems Cube Printer, 2nd Generation, Magenta",5199.96
CA-2017-135909,"Jane Waco","Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind",5083.96
CA-2016-136301,"Edward Hooks","High Speed Automatic Electric Letter Opener",4912.59
US-2016-143819,"Karen Daniels","Ativa V4110MDD Micro-Cut Shredder",4899.93
US-2015-128587,"Harry Marie","Canon PC1060 Personal Laser Copier",4899.93
CA-2017-149881,"Nick Crebassa","Cubify CubeX 3D Printer Double Head Print",4799.984
CA-2017-158379,"Joseph Airdo","Martin Yale Chadless Opener Electric Letter Opener",4663.736
CA-2015-114811,"Keith Dawkins","Zebra ZM400 Thermal Label Printer",4643.8
CA-2014-144624,"John Murray","Apple iPhone 5",4548.81
CA-2016-138478,"Dennis Pardue","Ibico EPK-21 Electric Binding System",4535.976
CA-2016-108196,"Cindy Stewart","Cubify CubeX 3D Printer Double Head Print",4499.985
CA-2016-100300,"Max Jones","Okidata MB760 Printer",4476.8
CA-2017-118892,"Tom Prescott","HON 5400 Series Task Chairs for Big and Tall",4416.174
CA-2015-117086,"Quincy Jones","Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",4404.9
CA-2017-129021,"Patrick O'Brill","Samsung Galaxy Mega 6.3",4367.896
CA-2016-129714,"Adam Bellavance","GBC DocuBind P400 Electric Binding System",4355.168
US-2017-102183,"Pete Kriz","GBC DocuBind TL300 Electric Binding System",4305.552
CA-2015-116638,"Joseph Holt","Chromcraft Bull-Nose Wood Oval Conference Tables & Bases",4297.644
US-2015-126977,"Peter Fuller","Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",4228.704
US-2017-167402,"Cathy Prescott","Martin Yale Chadless Opener Electric Letter Opener",4164.05
CA-2014-102988,"Greg Maxwell","Martin Yale Chadless Opener Electric Letter Opener",4164.05
CA-2016-159016,"Karen Ferguson","Apple iPhone 5",4158.912
CA-2014-128209,"Greg Tran","DMI Eclipse Executive Suite Bookcases",4007.84
CA-2016-128818,"Caroline Jumper","Bady BDG101FRU Card Printer",3999.95
CA-2014-164973,"Nathan Mautz","Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier",3991.98
